County,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Randolph County, Illinois","33,476","33,480","33,464","33,425","33,075","33,175","33,138","32,806","32,414","32,297","32,177","31,782"
".Richland County, Illinois","16,233","16,233","16,194","16,190","16,134","16,008","16,020","15,957","15,829","15,837","15,695","15,513"
".Rock Island County, Illinois","147,546","147,541","147,610","147,457","147,672","147,650","147,035","146,094","144,943","143,828","142,621","141,879"
".St. Clair County, Illinois","270,056","270,078","270,353","270,048","268,673","266,831","265,941","264,858","263,187","262,600","261,360","259,686"
".Saline County, Illinois","24,913","24,915","24,902","24,907","24,914","24,803","24,496","24,495","24,230","23,963","23,789","23,491"
".Sangamon County, Illinois","197,465","197,465","197,769","199,038","199,404","199,141","199,184","198,898","198,026","197,072","195,639","194,672"
".Schuyler County, Illinois","7,544","7,544","7,535","7,464","7,456","7,392","7,261","7,151","7,030","6,948","6,870","6,768"
".Scott County, Illinois","5,355","5,355","5,327","5,229","5,287","5,211","5,170","5,110","5,052","4,983","4,927","4,951"
".Shelby County, Illinois","22,363","22,355","22,354","22,278","22,203","22,137","22,102","21,819","21,733","21,774","21,726","21,634"
".Stark County, Illinois","5,994","5,992","5,969","5,842","5,739","5,705","5,601","5,505","5,512","5,457","5,418","5,342"
".Stephenson County, Illinois","47,711","47,708","47,606","47,323","46,886","46,671","46,269","45,668","45,503","44,997","44,797","44,498"
".Tazewell County, Illinois","135,394","135,392","135,486","135,850","136,127","136,266","135,353","134,302","133,932","133,489","132,450","131,803"
".Union County, Illinois","17,808","17,806","17,731","17,692","17,608","17,539","17,402","17,284","17,105","16,968","16,832","16,653"
".Vermilion County, Illinois","81,625","81,625","81,640","81,414","80,862","80,585","79,783","79,170","78,494","77,689","76,702","75,758"
".Wabash County, Illinois","11,947","11,947","11,916","11,794","11,686","11,671","11,599","11,624","11,542","11,523","11,523","11,520"
".Warren County, Illinois","17,707","17,704","17,713","17,836","17,749","17,662","17,712","17,455","17,294","17,144","16,992","16,844"
".Washington County, Illinois","14,716","14,716","14,712","14,576","14,599","14,414","14,392","14,262","14,179","13,963","13,999","13,887"
".Wayne County, Illinois","16,760","16,760","16,738","16,661","16,656","16,664","16,594","16,517","16,542","16,412","16,326","16,215"
".White County, Illinois","14,665","14,665","14,597","14,590","14,522","14,434","14,265","14,204","14,079","13,903","13,618","13,537"
".Whiteside County, Illinois","58,498","58,501","58,486","58,286","57,766","57,468","57,021","56,919","56,476","55,955","55,553","55,175"
".Will County, Illinois","677,560","677,580","678,824","680,827","682,477","683,734","685,158","685,877","688,328","690,479","691,149","690,743"
".Williamson County, Illinois","66,357","66,365","66,432","66,732","66,776","67,450","67,412","67,428","67,454","67,049","66,982","66,597"
".Winnebago County, Illinois","295,266","295,264","295,083","293,642","292,084","290,945","288,695","287,148","286,065","284,681","283,630","282,572"
".Woodford County, Illinois","38,664","38,656","38,661","38,844","38,837","39,027","39,052","38,930","38,913","38,670","38,527","38,459"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Illinois: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-17)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
